station_id,num_docks_disabled,station_status,eightd_has_available_keys,is_installed,legacy_id,num_ebikes_available,num_docks_available,last_reported,num_bikes_disabled,is_renting,is_returning,num_bikes_available,eightd_active_station_services,valet
4023,0,active,False,1,4023,0,16,1656544595,2,1,1,5,,
4024,0,active,False,1,4024,0,33,1656545759,0,1,1,0,,
4025,0,active,False,1,4025,1,19,1656542353,0,1,1,1,,
4027,0,active,False,1,4027,1,22,1656545848,0,1,1,1,,
4028,0,active,False,1,4028,1,5,1656545020,1,1,1,13,,
4029,0,active,False,1,4029,0,21,1656544368,2,1,1,0,,
4031,0,active,False,1,4031,0,19,1656538788,0,1,1,0,,
4032,0,active,False,1,4032,0,19,1656534784,0,1,1,0,,
4034,0,active,False,1,4034,0,22,1656545933,1,1,1,3,,
4035,0,active,False,1,4035,0,18,1656545494,1,1,1,1,,
4036,0,active,False,1,4036,2,0,1656545831,1,1,1,35,,
4037,0,active,False,1,4037,0,1,1656545644,0,1,1,38,,
4038,0,active,False,1,4038,2,14,1656545552,0,1,1,22,,
4040,0,active,False,1,4040,0,41,1656546069,6,1,1,3,,
4041,0,active,False,1,4041,0,14,1656544088,1,1,1,3,,
4044,5,active,False,1,4044,0,24,1656546121,10,1,1,9,,
4045,0,active,False,1,4045,0,12,1656546112,5,1,1,22,,
4047,0,active,False,1,4047,0,9,1656546100,4,1,1,13,,
4048,0,active,False,1,4048,0,18,1656540237,0,1,1,2,,
4050,0,active,False,1,4050,0,21,1656539414,0,1,1,0,,
4051,0,active,False,1,4051,0,13,1656545911,0,1,1,12,,
4052,0,active,False,1,4052,0,27,1656504862,0,1,1,0,,
4053,0,active,False,1,4053,0,10,1656542396,4,1,1,5,,
4054,0,active,False,1,4054,0,16,1656542087,3,1,1,0,,
4055,0,active,False,1,4055,0,27,1656546127,0,1,1,0,,
4056,0,active,False,1,4056,0,24,1656536154,0,1,1,0,,
4057,0,active,False,1,4057,1,22,1656545940,0,1,1,1,,
4058,0,active,False,1,4058,0,38,1656545597,3,1,1,0,,
4059,0,active,False,1,4059,0,29,1656545825,1,1,1,1,,
4060,0,active,False,1,4060,0,17,1656544801,3,1,1,3,,
4061,0,active,False,1,4061,1,23,1656545394,0,1,1,1,,
4062,0,active,False,1,4062,0,3,1656545376,0,1,1,20,,
4063,0,active,False,1,4063,1,22,1656545931,1,1,1,1,,
4064,0,active,False,1,4064,0,22,1656545306,1,1,1,0,,
4065,0,active,False,1,4065,0,34,1656544950,1,1,1,0,,
4066,0,active,False,1,4066,0,22,1656521793,1,1,1,0,,
4067,0,active,False,1,4067,0,15,1656544262,0,1,1,8,,
4068,0,active,False,1,4068,0,28,1656545727,1,1,1,0,,
4069,0,active,False,1,4069,1,20,1656545608,0,1,1,4,,
4070,0,active,False,1,4070,0,24,1656544300,0,1,1,0,,
4071,0,active,False,1,4071,2,18,1656546058,0,1,1,2,,
4073,0,active,False,1,4073,0,32,1656543729,3,1,1,0,,
4074,0,active,False,1,4074,0,20,1656545976,1,1,1,2,,
4075,0,active,False,1,4075,1,23,1656546092,8,1,1,4,,
4076,0,active,False,1,4076,1,21,1656546098,1,1,1,7,,
4078,0,active,False,1,4078,1,26,1656545309,0,1,1,5,,
4080,0,active,False,1,4080,0,3,1656543936,0,1,1,18,,
4081,0,active,False,1,4081,1,8,1656540904,0,1,1,13,,
4082,0,active,False,1,4082,0,22,1656540404,1,1,1,7,,
4083,0,active,False,1,4083,0,19,1656543754,1,1,1,0,,
4084,0,active,False,1,4084,0,20,1656544915,1,1,1,0,,
4085,0,active,False,1,4085,0,23,1656545434,1,1,1,0,,
4086,0,active,False,1,4086,0,2,1656541412,0,1,1,19,,
4087,0,active,False,1,4087,1,19,1656542704,1,1,1,2,,
4088,0,active,False,1,4088,0,14,1656546104,2,1,1,0,,
4090,0,active,False,1,4090,0,18,1656545663,2,1,1,0,,
4091,0,active,False,1,4091,1,3,1656545395,3,1,1,15,,
4092,0,active,False,1,4092,1,4,1656543601,1,1,1,14,,
4094,0,active,False,1,4094,1,17,1656545521,3,1,1,1,,
4095,0,out_of_service,False,0,4095,0,0,86400,0,0,0,0,,
4096,0,active,False,1,4096,1,27,1656546061,1,1,1,2,,
4098,0,active,False,1,4098,0,19,1656544581,1,1,1,0,,
4099,0,active,False,1,4099,0,4,1656545185,0,1,1,17,,
4101,0,active,False,1,4101,1,1,1656546122,2,1,1,16,,
4102,0,active,False,1,4102,0,19,1656544936,1,1,1,2,,
4103,0,active,False,1,4103,0,17,1656545325,0,1,1,0,,
4104,0,active,False,1,4104,1,18,1656545701,0,1,1,2,,
4105,0,active,False,1,4105,0,21,1656545609,0,1,1,0,,
4106,0,active,False,1,4106,0,18,1656546024,0,1,1,1,,
4107,0,active,False,1,4107,0,22,1656544789,2,1,1,0,,
4108,0,active,False,1,4108,1,9,1656544888,3,1,1,7,,
